district,area,unit_price,rooms,build_year,near_subway,url,crawl_time
时代倾城(二期),85.18,6340,,1921,是,https://cs.58.com/ershoufang/4368943281921025x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195269&typecode=201&spread=filtersearch_p&epauction=&stats_key=332fe1b1-9e0c-4466-98ba-0a3f78cf60d4_70&from=from_esf_List_search&index=76,2025-12-20 09:48:19
明昇壹城,142.53,11563,,2021,是,https://cs.58.com/ershoufang/3980879167447050x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195271&typecode=201&spread=filtersearch_p&epauction=&stats_key=607a9ac9-090a-4bd6-b504-193e12f096bc_70&from=from_esf_List_search&index=76,2025-12-20 09:48:22
旭辉藏郡,88.47,19781,,2080,是,https://cs.58.com/ershoufang/3359345208073219x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195273&typecode=201&spread=filtersearch_p&epauction=&stats_key=01e55ddb-21de-41d9-a8b9-06a3794af37f_70&from=from_esf_List_search&index=76,2025-12-20 09:48:23
明昇壹城,116.92,10264,,2021,是,https://cs.58.com/ershoufang/3506951592812553x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195274&typecode=201&spread=filtersearch_p&epauction=&stats_key=6739d7e8-6c09-4f76-ace7-fcd100436fa0_70&from=from_esf_List_search&index=76,2025-12-20 09:48:25
明昇壹城,96.89,11663,,2021,是,https://cs.58.com/ershoufang/3798298375151623x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195276&typecode=201&spread=filtersearch_p&epauction=&stats_key=78b8b980-8470-4d12-bc03-5f9dc1c315a9_70&from=from_esf_List_search&index=76,2025-12-20 09:48:26
润和紫郡,103.72,6229,,2021,是,https://cs.58.com/ershoufang/4356404108274693x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195277&typecode=201&spread=filtersearch_p&epauction=&stats_key=1ea71d46-645c-4f91-8134-2395a0db8ee4_70&from=from_esf_List_search&index=76,2025-12-20 09:48:28
三润城,132.77,7457,,2021,是,https://cs.58.com/ershoufang/4289439902641156x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195279&typecode=201&spread=filtersearch_p&epauction=&stats_key=fde1e2df-8966-4847-a956-3e30cf430a1b_70&from=from_esf_List_search&index=76,2025-12-20 09:48:30
明昇壹城,142.53,11563,,2021,是,https://cs.58.com/ershoufang/3980879167447050x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195281&typecode=201&spread=filtersearch_p&epauction=&stats_key=e2b7ef37-8e40-49eb-a649-7f2953b5d184_70&from=from_esf_List_search&index=76,2025-12-20 09:48:32
明昇壹城,96.89,11663,,2021,是,https://cs.58.com/ershoufang/3798298375151623x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195283&typecode=201&spread=filtersearch_p&epauction=&stats_key=e05006cc-dfeb-40ee-8a41-14131bd1a588_70&from=from_esf_List_search&index=76,2025-12-20 09:48:34
时代倾城(二期),85.18,6340,,1921,是,https://cs.58.com/ershoufang/4368943281921025x.shtml?auction=201&hpType=60&entry=102&position=70&kwtype=filter&now_time=1766195285&typecode=201&spread=filtersearch_p&epauction=&stats_key=e26b55fa-e431-4455-83e9-09a54e0699de_70&from=from_esf_List_search&index=76,2025-12-20 09:48:34
